type	index	image	question	A	B	C	D	answer
pg	613	data/figure/pg/2022-12-16--食品饮料-紫燕食品-公司深度报告：佐餐卤味领头羊，开启全国化扩张_page16_图表29消费者购买卤制品渠道分布.jpg	如果线下门店的收入为63亿元，那么公司总收入为多少？	100亿元	80亿元	90亿元	70亿元	A
pg	614	data/figure/pg/2023-03-07--光学光电子-茂莱光学-茂莱光学深度：工业级精密光学稀缺标的，下游领域多点开花_page15_图表262020年全球光学镜头下游应用占比.jpg	根据图中的数据，2020年全球光学镜头下游应用中，哪个领域的占比最高？	手机	安防	汽车	工业	A
pg	615	data/figure/pg/2023-09-24--有色金属-同享科技-光伏焊带领军企业，N型新品加速放量_page9_图142021年铜材和锡合金为主要原材料.jpg	根据图中的数据，铜材的占比为多少？	28.90%	70.90%	0.20%	50%	B
pg	616	data/figure/pg/2023-05-26--半导体-北方华创-半导体设备平台型公司，受益国产替代加速_page13_图262021年中国大陆半导体销售额全球占比为35.jpg	根据图中的数据，中国大陆半导体销售额全球占比为多少？	27%	35%	21%	9%	B
pg	617	data/figure/pg/2023-03-21--专用设备-赛腾股份-消费电子设备持续放量，半导体量测设备未来可期_page14_图表322021年量检测设备细分市场情况.jpg	如果公司计划将无图形检测的市场份额提高到40%，同时保持其他业务占比不变，那么关键尺寸电子显微镜的市场份额将减少多少个百分点？	2%	3%	4%	5%	C
pg	618	data/figure/pg/2023-11-21--医疗服务-美年健康-公司研究报告：体检行业龙头，经营持续改善，内生外延开启新增长阶段_page4_评级分布RatingDistribution.jpg	根据饼图，最新季度的评级分布中，'优于大市'的比例是多少？	89.30%	9.60%	1.10%	92.50%	A
pg	619	data/figure/pg/2024-03-06--物流行业-华贸物流-传统货代业务转型，跨境电商物流成长可期_page4_图22022年公司分业务营收占比.jpg	根据图中数据，2022年公司分业务营收占比中，哪项业务的占比最高？	海运货代	空运货代	跨境电商物流	仓储物流	A
pg	620	data/figure/pg/2022-11-20--消费电子-美格智能-海外需求与国内复苏共振，车载和FWA业务增长强劲_page6_图表62021年公司模组产品收入结构按类型.jpg	根据图中信息，数传模组的收入占比大约是多少？	30%左右	40%左右	50%左右	60%左右	A
pg	621	data/figure/pg/2022-12-06--电子元件-三环集团-三环集团：MLCC进入底部区间，材料平台型公司迎来新发展_page22_no_caption.jpg	以下哪个厂商在MLCC市场中的份额最高？	村田	三星电机	华新科	国巨	A
pg	622	data/figure/pg/2023-02-15--铁路公路-海汽集团-拟收购海旅免税深度布局免税赛道，政策红利+资源整合实现全新突破_page8_图82021年海汽集团各业务营收占比.jpg	如果海汽集团的汽车客运业务占比减少5个百分点，其新份额是多少？	63%	73%	58%	68%	A
pg	623	data/figure/pg/2023-12-01--化学制品-呈和科技-高端塑料助剂成核剂、水滑石行业龙头，国产替代主力军_page25_图43我国热稳定剂市场份额.jpg	根据图中的市场份额情况，铅盐类热稳定剂的占比为多少？	23%	33%	44%	50%	C
pg	624	data/figure/pg/2023-01-13--软件开发-博思软件-持续高成长的政务IT龙头，数字经济夯实成长台阶_page26_图表34公司技术人员占比70以上2021.jpg	如果技术人员的占比减少5个百分点，其新占比是多少？	67.72%	68.72%	69.72%	70.72%	A
pg	625	data/figure/pg/2023-02-09--农牧饲渔-圣农发展-公司深度分析：产业链一体化龙头，生食+熟食双轮驱动_page4_图42022年上半年公司业务比例结构.jpg	根据图中的业务占比情况，哪种业务的占比最高？	鸡肉	肉制品	其他	无法确定	A
pg	626	data/figure/pg/2023-06-18--医疗器械-山外山-全产业链布局的国产血液净化龙头_page21_图242021年血透血滤机品牌竞争格局按数量.jpg	根据图中的品牌竞争格局，Fresenius与NIKKISO的市场份额差距是多少？	6.80%	7.20%	6.40%	7.60%	A
pg	627	data/figure/pg/2023-07-18--化学制药-科源制药-深度报告：国内生产格列齐特和盐酸罗哌卡因原料药龙头企业_page14_图142018年全球化学原料药产地分布情况.jpg	根据饼图，哪个地区的化学原料药产量占比最高？	中国	意大利	印度	美国	A
pg	628	data/figure/pg/2023-12-06--生物制品-科兴制药-重组蛋白业务稳健增长，出口海外未来可期_page16_图表205岁以下儿童住院疾病构成.jpg	在205岁以下儿童住院疾病构成中，呼吸道疾病的占比是多少？	32.10%	36.50%	25.40%	6.00%	A
pg	629	data/figure/pg/2023-02-06--仪器仪表-优利德-高端产品放量，22Q4业绩拐点呈现_page4_图表82021年全球数字万用表市场CR3达20.jpg	2021年全球数字万用表市场中，CR3（Victor、UNI-T、福禄克）的市场份额是多少？	20%	40%	60%	80%	A
pg	630	data/figure/pg/2023-07-10--家电行业-科沃斯-双轮驱动，持续领跑清洁电器赛道_page14_图表182022年线上渠道销售额.jpg	根据图中的线上渠道销售额占比情况，科沃斯的占比为多少？	39.80%	21.30%	15.00%	7.00%	A
pg	631	data/figure/pg/2024-02-20--通信服务-普天科技-深度报告：央企平台+产业卡位，市值重估与卫星放量预期共振_page21_图表中国专网通信行业下游应用结构占比.jpg	政府与公共安全的市场份额占比是多少？	31.00%	56.30%	12.70%	48.60%	B
pg	632	data/figure/pg/2024-02-05--钢铁行业-东方铁塔-老挝钾矿再下一城，钾肥业务持续成长_page3_图表72023年我国氯化钾进口来源.jpg	2023年我国氯化钾进口来源中，白俄罗斯的市场份额占比为多少？	29%	26%	15%	7%	A
pg	633	data/figure/pg/2023-03-12--化学制品-一诺威-北交所新股申购报告：深耕聚氨酯领域，浇注型聚氨酯全国制造业单项冠军_page11_图13万华化学国内MDI市场占有率为bf54.jpg	万华化学在国内MDI市场的份额占比为多少？	54%	2%	17%	15%	A
pg	634	data/figure/pg/2023-11-10--食品饮料-绝味食品-发展回归正轨，盈利能力和门店数量稳步齐升_page3_图表12021年中国卤味小吃消费者年龄结构.jpg	根据饼图，2021年中国卤味小吃消费者中，哪个年龄段的消费者占比最高？	18-25岁	26-30岁	31-35岁	36-40岁	C
pg	635	data/figure/pg/2023-11-08--化学制药-千红制药-肝素和蛋白酶龙头之一，加速创新化转型_page9_图112021年样本医院依诺肝素市占率.jpg	如果赛诺菲与深圳天道合并，它们的市场份额将达到多少百分点？	58%	49%	63%	52%	A
pg	636	data/figure/pg/2023-02-12--电源设备-麦格米特-多元化战略持续兑现，发力新能源、工业电源及工控_page4_图32015年艾默生业务重组时各业务营收.jpg	根据图中的业务占比情况，2015年艾默生的Climate Technologies业务营收为多少？	$4.0B	$1.9B	$8.5B	$4.4B	A
pg	637	data/figure/pg/2023-04-30--汽车零部件-星源卓镁-汽车压铸件行业领跑，镁合金时代即将到来_page6_图6公司2022年主营业务占比情况.jpg	根据饼图，镁合金压铸件的主营业务占比是多少？	30.00%	56.00%	12.20%	1.71%	B
pg	638	data/figure/pg/2022-12-04--电网设备-四方股份-电网二次平台型龙头，新能源+储能注入发展新动能_page14_图172022年一二次融合成套柱开市占率情况以江苏省第三批配网协议库存招标为例招标金额口径.jpg	根据饼图，哪个公司的市场份额占比最高？	佳源科技	艾博白云	三清互联	其他	D
pg	639	data/figure/pg/2023-01-05--化肥行业-盐湖股份-钾锂双业务发展，未来成长可期_page10_图15钾肥下游需求结构.jpg	如果复合肥业务的收入为48亿元，则公司总收入为多少？	100亿元	120亿元	150亿元	200亿元	A
pg	640	data/figure/pg/2023-10-07--电子化学品-广钢气体-以氦为矛，电子大宗气体领军者_page21_图表492021年中国氦气进口企业市场份额占比.jpg	根据图中的数据，以下哪个企业在中国氢气进口市场的份额最高？	林德	空气化工	广钢气体	其他	A
pg	641	data/figure/pg/2024-02-05--钢铁行业-东方铁塔-老挝钾矿再下一城，钾肥业务持续成长_page3_图表62022年我国氯化钾进口来源.jpg	根据饼图，2022年我国氯化钾进口来源中，加拿大所占的比例是多少？	30%	24%	21%	10%	A
pg	642	data/figure/pg/2023-01-05--化肥行业-盐湖股份-钾锂双业务发展，未来成长可期_page15_图22碳酸锂下游需求结构.jpg	根据图中的碳酸锂下游需求结构，哪种业务的占比最高？	磷酸铁锂	三元材料	锰酸锂	钴酸锂	B
pg	643	data/figure/pg/2023-12-06--食品饮料-仙乐健康-保健食品代工龙头，盈利空间逐步拓宽_page7_图表92023H1美洲已成为公司第二大市场.jpg	根据饼图，哪个市场是公司的第二大市场？	中国	欧洲	美洲	其他区域	C
pg	644	data/figure/pg/2022-11-22--医疗器械-戴维医疗-公司首次覆盖报告：电动吻合器龙头企业，联盟集采驱动业绩腾飞_page10_图162020年腔镜吻合器销售金额远超开放吻合器亿元.jpg	根据图中的销售金额占比情况，智能（电动）吻合器的销售金额是腔镜手动吻合器的多少倍？	0.23	0.34	0.22	0.25	C
pg	645	data/figure/pg/2023-12-04--化学原料-宝丰能源-宝丰能源深度更新报告：煤化工龙头低成本扩张，资本开支高增助力成长_page12_图表17我国煤油气产量占比结构2021.jpg	根据图表，我国煤油气产量占比中，哪一部分的占比最高？	7.65%	8.28%	84.07%	其他	C
pg	646	data/figure/pg/2023-12-17--通信设备-海格通信-特种应用无线通信龙头，新布局卫星互联网业务_page9_图10海格通信2022年分板块收入占比单位.jpg	根据图中的业务占比情况，哪种业务的占比最高？	无线通信	数智生态	模拟仿真	北斗导航	A
pg	647	data/figure/pg/2023-03-07--电子元件-三环集团-陶瓷材料专家，丰富产品线贡献多维业绩增量_page20_图表59不同材料手机背板市场份额2020.jpg	2020年，陶瓷材料手机背板的市场份额是多少？	1%	5%	38%	56%	A
pg	648	data/figure/pg/2023-01-18--医药商业-益丰药房-扩张中的健行者，管理上的精细家_page11_图表152020年中国医药市场mathbfRx贡献率.jpg	如果大型医院的市场份额减少5个百分点，其新份额是多少？	63%	68%	73%	58%	A
pg	649	data/figure/pg/2023-11-30--有色金属-云铝股份-绿电铝一体化龙头，享受长期成本优势_page18_图262023年9月中国电解铝开工产能分布.jpg	如果山东和内蒙的电解铝开工产能合并，其总占比将达到多少？	32%	30%	35%	37%	A
pg	650	data/figure/pg/2023-12-07--医疗器械-安杰思-消化耗材领域国产龙头企业，快速成长进行时_page14_图表312018年全球内镜诊疗器械市场竞争格局.jpg	根据饼图，哪个企业的市场份额最大？	波士顿科学	奥林巴斯	库克	南微医学	A
pg	651	data/figure/pg/2023-09-26--电子元件-汇川技术-深度报告：工控龙头平台级价值凸显_page26_图43新能源汽车整体成本结构.jpg	根据图中数据，新能源汽车整体成本结构中，电池的占比范围是多少？	40-50%	15-20%	13-15%	7%	A
pg	652	data/figure/pg/2022-12-26--家电行业-海信家电-深度报告：央空与三电双剑合璧，热管理集成强者争霸_page24_图522018年全球汽车空调压缩机格局.jpg	在全球汽车空调压缩机市场中，哪个品牌的市场份额最大？	电装	三电	翰昂	奥特佳	A
pg	653	data/figure/pg/2022-11-13--有色金属-同享科技-光伏焊带领先企业，多因素共振高成长_page9_图表11光伏组件成本结构占比情况.jpg	根据图中的成本结构占比情况，制造费用的占比是硅胶的多少倍？	6.875倍	5.5倍	8.125倍	7.375倍	A
pg	654	data/figure/pg/2023-12-11--塑料制品-蓝晓科技-吸附分离平台型企业，多业务线成长共振_page5_图表1蓝晓科技收入结构2023半年报.jpg	在2023年上半年，蓝晓科技收入结构中，哪个业务的占比最大？	吸附材料	系统装置	技术服务	其他	A
pg	655	data/figure/pg/2024-02-26--装修建材-喜临门-深度报告：多品牌联动，线上线下渠道快速发展_page7_图142020年全球床垫市场消费占比.jpg	根据图中的市场消费占比情况，哪种产品的占比最高？	床垫	其他软体	家具	装饰材料	B
pg	656	data/figure/pg/2023-10-07--电子化学品-广钢气体-以氦为矛，电子大宗气体领军者_page14_图表29201822M9电子半导体领域新建现场制气项目中标产能占比.jpg	如果广钢气体的市场份额减少5个百分点，其新份额是多少？	20.40%	25.90%	30.40%	15.40%	A
pg	657	data/figure/pg/2023-06-18--装修建材-箭牌家居-公司深度研究：深耕陶瓷卫浴赛道，布局打造智慧家居品牌_page26_图40翻新业务规模不断扩大.jpg	从2001年到2021年，翻新业务的市场份额变化了多少个百分点？	增加了21%	减少了21%	增加了11%	减少了11%	A
pg	658	data/figure/pg/2023-05-12--半导体-芯源微-业绩同比高增，产品结构持续优化_page2_图3公司2022年营业收入结构.jpg	2022年营业收入结构中，占比最大的业务是什么？	光刻工序涂胶显影设备	单片式湿法设备	其他设备	其他业务	A
pg	659	data/figure/pg/2022-11-29--家电行业-公牛集团-公司信息更新报告：主业延续稳健，新业务放量，有望穿越周期显韧性_page6_no_caption.jpg	如果工业级业务的市场份额减少10%，其新的市场份额将变为多少？	55%	60%	62%	63%	A
pg	660	data/figure/pg/2023-03-06--化学制品-光威复材-国产军用碳纤维领军企业，全链条布局产能释放在即_page33_图表532021年非定型产品结构.jpg	根据饼图，T700级系列的市场份额与T800级系列相比，多出或少了多少个百分点？	15.68%	14.98%	13.68%	12.98%	A
pg	661	data/figure/pg/2023-01-10--商业百货-王府井-御政策东风，开新局之年_page12_图15新世界免税品牌数目占比.jpg	在新世界免税品牌数目占比中，香化类别的占比为多少？	48.00%	34.60%	12.90%	8.10%	A
pg	662	data/figure/pg/2023-03-06--家电行业-德业股份-逆变器后起之秀，拓展光储赛道迎新发展_page15_图27储能变流器材料成本构成.jpg	根据图中的储能变流器材料成本构成，磁性器件和机构件的占比总和是多少？	36.70%	35.70%	34.70%	37.70%	A
pg	663	data/figure/pg/2023-10-31--半导体-卓胜微-季报点评：国内平台型射频前端领导者强劲复苏_page2_图4公司2022年产品结构情况.jpg	根据图中的产品结构情况，分立器件的占比是多少？	30.42%	67.75%	1.83%	无法确定	B
pg	664	data/figure/pg/2023-02-17--小金属-中国稀土-公司深度报告：中国稀土：整合开启，掌控提升_page23_图34美国稀土下游应用占比.jpg	根据图中的数据，美国稀土下游应用中占比最大的是哪一项？	催化剂	陶瓷和玻璃	抛光	冶金应用和合金	A
pg	665	data/figure/pg/2023-03-15--通信服务-中国移动-运营商龙头，数字经济领导者_page31_图712021Q3国内公有云mathsflmathsfamathsfamathsfSmathrmmathsfPmathsfamathsfamathsfSmathsfi份额单位.jpg	如果阿里云的收入为38.24亿元，那么公司总收入为多少？	100亿元	50亿元	75亿元	150亿元	A
pg	666	data/figure/pg/2023-10-07--电子化学品-广钢气体-以氦为矛，电子大宗气体领军者_page19_no_caption.jpg	根据饼图，哪个国家的资源量占比最高？	美国	卡塔尔	阿尔及利亚	俄罗斯	A
pg	667	data/figure/pg/2022-10-12--化学制药-海普瑞-成本改善、出口放量驱动业绩增长_page9_图表12依诺肝素制剂各企业市场份额2019.jpg	根据饼图，赛诺菲的市场份额与海普瑞相比，多出或少了多少个百分点？	49.10%	49.60%	52.10%	0.536	A
pg	668	data/figure/pg/2023-01-13--航天航空-航发科技-主力机型放量提速，航发类主机厂业绩拐点已现_page9_图表92022H1营收结构.jpg	2023年H1，内贸航空的市场份额占总市场的百分比是多少？	76.57%	21.10%	1.37%	0.95%	A
pg	669	data/figure/pg/2023-12-08--玻璃玻纤-国际复材-新股覆盖研究：国际复材_page4_图52020年全球玻璃纤维产能结构.jpg	在全球玻璃纤维产能结构中，哪个公司的占比最大？	巨石集团	OC	泰山玻纤	发行人	A
pg	670	data/figure/pg/2023-07-06--半导体-广立微-聚焦半导体良率提升，EDA软件+WAT设备领军_page15_图表272020年中国EDA行业竞争格局.jpg	2020年中国EDA行业市场份额占比最高的公司是？	Cadence	Synopsys	Siemens EDA	华大九天	A
pg	671	data/figure/pg/2023-03-06--家电行业-德业股份-逆变器后起之秀，拓展光储赛道迎新发展_page8_图142021年全球可再生能源装机容量GW.jpg	2021年全球可再生能源装机容量中，光伏的占比是多少？	56%	31%	8%	3%	A
pg	672	data/figure/pg/2023-01-28--软件开发-恒生电子-公司深度报告：业绩拐点或现，拥抱信创良机_page4_图2大零售和大资管贡献bf50以上收入2021年.jpg	根据饼图，大零售IT的收入占比是多少？	38.40%	31.00%	14.60%	6.40%	A
pg	673	data/figure/pg/2023-07-23--化学制品-江瀚新材-硅烷行业领军企业，募投项目打开成长空间_page9_图11全球功能性硅烷消费结构.jpg	如果复合材料的市场份额增加5个百分点，其新份额是多少？	23.50%	24%	23%	22.50%	A
pg	674	data/figure/pg/2023-01-09--电子元件-方邦股份-首次覆盖：电磁屏蔽膜有望突破大客户；铜箔、FCCL多元布局打开成长空间_page14_图22复合铜箔成本构成.jpg	根据图中的成本构成情况，设备成本的占比是原材料成本的多少倍？	1.61倍	1.58倍	1.64倍	1.60倍	A
pg	675	data/figure/pg/2023-04-07--石油行业-中国石油-原油均价抬升，盈利创新高_page9_评级分布RatingDistribution.jpg	在最近一个完整季度中，'优于大市'的评级占比是多少？	89.40%	9.20%	1.50%	1.40%	A
pg	676	data/figure/pg/2023-06-07--电力行业-江苏国信-长三角火电四小龙系列（一）首次覆盖报告：金融奠基，火电进击_page10_图24十三五期间江苏省新增装机容量结构单位万千瓦.jpg	江苏省新增装机容量中，火电的占比是多少？	27.90%	36.90%	24.60%	7.30%	B
pg	677	data/figure/pg/2023-06-29--装修装饰-华凯易佰-跨境电商龙头再迎数字化腾飞_page5_no_caption.jpg	根据饼图，跨境出口电商业务占公司总收入的比例是多少？	6.16%	0.75%	93.02%	0.07%	C
pg	678	data/figure/pg/2023-12-06--汽车零部件-伯特利-首次覆盖报告：线控制动领跑者，布局底盘一体化打开成长空间_page9_图82022年伯特利前五大供应商情况.jpg	2022年伯特利前五大供应商中，山东创新金属的市场份额占比是多少？	5.66%	5.31%	3.57%	3.01%	A
pg	679	data/figure/pg/2023-09-19--工程机械-浙江鼎力-海外市场扩张及臂式产品放量驱动公司成长_page11_图表21建筑业在全球高空作业平台下游占比55.jpg	在全球高空作业平台下游市场中，建筑业的市场份额占比是多少？	55%	40%	30%	25%	A
pg	680	data/figure/pg/2022-11-30--珠宝首饰-中国黄金-央企黄金珠宝龙头，培育钻石迎来新契机，静待发布_page10_图152021年中国黄金珠宝市场份额占比情况.jpg	2021年中国黄金珠宝市场中，哪种类型的珠宝市场份额占比最大？	黄金	钻石	彩色宝石	玉石	A
pg	681	data/figure/pg/2022-12-16--食品饮料-紫燕食品-公司深度报告：佐餐卤味领头羊，开启全国化扩张_page33_图表82新一线二线城市的门店数量占比超6成.jpg	根据图中的门店数量占比，哪类城市的门店数量最多？	一线城市	新一线城市	二线城市	三线城市	B
pg	682	data/figure/pg/2022-12-07--酿酒行业-百润股份-预调鸡尾酒行业龙头，强爽与清爽蓄力成长_page27_图全球烈酒各品类消费额占比.jpg	如果全球烈酒市场总消费额为100亿元，那么威士忌的消费额是多少？	23亿元	18亿元	9亿元	5亿元	A
pg	683	data/figure/pg/2023-03-06--家电行业-德业股份-逆变器后起之秀，拓展光储赛道迎新发展_page16_图302021年全球储能PCS竞争格局.jpg	2021年全球储能PCS市场中，Power Electronics和阳光电源的市场份额总和占整个市场的比重为多少？	36%	46%	56%	66%	A
pg	684	data/figure/pg/2023-11-21--煤炭行业-中煤能源-深度研究报告：具备产能与资产价值优势的央企煤炭龙头_page9_图132022年各行业耗煤占比.jpg	根据图中的数据，电力行业的耗煤占比是多少？	54.90%	18.00%	11.70%	7.70%	A
pg	685	data/figure/pg/2023-03-07--电池-国轩高科-乘大众电动转型之势，国际化战略展翅鸿图_page9_图222022年15月A00级车型电池装机量市占率.jpg	根据饼图，国轩高科的市场份额是宁德时代的多少倍？	1.32倍	1.50倍	1.68倍	1.74倍	A
pg	686	data/figure/pg/2023-11-07--互联网服务-焦点科技-AI麦可打造外贸企业专属数智员工，打开全新收费天花板_page19_图24Shopify2022年营业收入分布按地区.jpg	根据图中数据，哪个地区的收入占比最高？	北美	欧洲，中东，非洲	亚太	拉丁美洲	A
pg	687	data/figure/pg/2023-01-09--电子元件-方邦股份-首次覆盖：电磁屏蔽膜有望突破大客户；铜箔、FCCL多元布局打开成长空间_page7_图112021年中国PCB细分产品结构.jpg	根据图中的数据，哪种类型的PCB产品占比最大？	单/双面板	多层板	挠性板	封装基板	B
pg	688	data/figure/pg/2024-04-19--化学制品-山东赫达-山东赫达深度报告：国内纤维素醚龙头，全球化布局成长可期_page10_图122013年全球非离子型纤维素醚需求结构.jpg	如果建筑和食品业务合并，它们的总占有率将达到多少？	73%	63%	58%	49%	A
pg	689	data/figure/pg/2023-03-07--电池-国轩高科-乘大众电动转型之势，国际化战略展翅鸿图_page18_图31全球锂资源分布情况.jpg	根据图中的锂资源分布情况，哪个国家的锂资源占比最高？	玻利维亚	阿根廷	智利	澳大利亚	A
pg	690	data/figure/pg/2022-11-22--软件开发-恒华科技-首次覆盖报告：新能源隐形IT龙头，多轮驱动有望迎业绩拐点_page4_图表2公司2021年营业收入分产品占比.jpg	根据图中数据，2021年营业收入占比最大的业务是什么？	软件服务	技术服务	硬件销售	EPC工程	A
pg	691	data/figure/pg/2023-03-07--电子元件-三环集团-陶瓷材料专家，丰富产品线贡献多维业绩增量_page15_图表38MLCC竞争格局.jpg	根据图表，以下哪个公司的市场份额最大？	三星电机	村田	太阳诱电	国巨	B
pg	692	data/figure/pg/2023-07-24--通用设备-派斯林-风起于青萍之末，北美焊装巨头启航_page9_图表1220132022年全球新能源汽车渗透率持续攀升.jpg	2022年新能源汽车销量中，哪个区域市场的占比最高？	欧洲	中国	北美	其他	B
pg	693	data/figure/pg/2024-02-20--化学原料-华鲁恒升-低成本筑壁垒，双基地促成长_page29_图432022年DMF供给格局.jpg	根据图中的DMF供给格局，哪个公司的占比最高？	华鲁恒升	鲁西化工	安阳九天	其他	A
pg	694	data/figure/pg/2023-11-16--互联网服务-赛维时代-深度报告：全链路时尚产业跨境电商，品牌化发展未来可期_page12_图242020年全球消费者跨境购物的首选跨境电商平台.jpg	根据图中数据，2020年全球消费者跨境购物的首选跨境电商平台中，亚马逊的占比为多少？	26%	33%	19%	11%	A
pg	695	data/figure/pg/2023-08-01--生物制品-锦波生物-功能蛋白一体化龙头，薇旖美快速放量驱动增长，敷料护肤前景可期_page18_图322022年抗HPV生物蛋白产品类型占比.jpg	卫生用品与医疗器械的市场份额差距是多少百分点？	98个百分点	99个百分点	100个百分点	97个百分点	A
pg	696	data/figure/pg/2022-10-17--水泥建材-海螺水泥-珍惜优质资产与历史最低PB_page20_图表50四万亿计划资金投向.jpg	根据图中的资金投向，哪一项的占比最大？	重大基础设施建设和城市电网改造	灾后恢复重建	廉租住房、棚户改造等保障性住房	农村水电路气房等民生工程和基础设施	A
pg	697	data/figure/pg/2023-12-19--通用设备-鼎泰高科-公司深度报告：PCB钻针龙头，布局新业务助力未来成长_page11_图172021年中国PCB细分产品结构.jpg	根据图中的业务占比情况，哪种业务的占比最高？	多层板	HDI板	封装基板	柔性板	A
pg	698	data/figure/pg/2022-10-10--医疗器械-乐普医疗-国产心血管平台型企业，创新产品布局加速_page10_图表162018年国内先心封堵器竞争格局.jpg	如果乐普医疗计划将市场份额提高到40%，而其他企业的市场份额保持不变，那么华医圣杰的市场份额将减少多少个百分点？	5%	10%	15%	20%	A
pg	699	data/figure/pg/2023-12-26--电子化学品-广钢气体-国内电子大宗气体龙头，发力布局电子特气业务_page39_图492022年电子大宗零售供气各产品收入占比.jpg	根据饼图，哪一种气体的收入占比最高？	氦气	氮气	氢气	氧气	A
pg	700	data/figure/pg/2023-12-24--化学制品-瑞丰新材-润滑油添加剂国内龙头，与四大同台竞技_page9_no_caption.jpg	如果重负荷发动机油的市场份额减少5个百分点，其新份额是多少？	28%	38%	23%	33%	A
pg	701	data/figure/pg/2023-08-05--物流行业-保税科技-深度报告：华东危化品仓储龙头，商业模式创新重回增长通道_page24_图表30我国化学品进口量逐步下降.jpg	2019年我国主要液体化学品来源中，进口量占比为多少？	20.22%	79.78%	14.51%	85.49%	A
pg	702	data/figure/pg/2023-07-08--电子元件-迅安科技-北交所个股研究系列报告：智能个人防护装备企业研究_page14_图表192020年全球电动送风过滤式呼吸器各地区市场收入分布.jpg	根据图中的市场收入分布，哪个地区的市场份额占比最高？	北美	欧洲	亚太	中亚和非洲	A
pg	703	data/figure/pg/2022-12-23--电子化学品-鼎龙股份-公司首次覆盖报告：国内CMP材料龙头，平台化发展，前景可期_page17_图252019年Cabot在全球抛光液市场上的份额达33.jpg	如果Cabot与Hitachi合并，它们在全球抛光液市场的份额将达到多少？	46%	35%	20%	50%	A
pg	704	data/figure/pg/2023-12-05--专业服务-普蕊斯-乘行业东风快速成长的SMO领军企业_page11_图表24中国SMO公司人员规模分布.jpg	根据饼图，人员规模在500-1000人的SMO公司占比是多少？	7.69%	10.26%	35.90%	46.15%	A
pg	705	data/figure/pg/2023-12-20--证券-中国银河-公司季报点评：债券承销规模提升显著，单季经纪、自营有待改善_page7_no_caption.jpg	在最近的完整季度中，'优于大市'的比例是多少？	89.30%	9.60%	1.10%	89.60%	A
pg	706	data/figure/pg/2023-04-12--通用设备-科德数控-国内五轴数控机床先锋，领航国产替代_page11_图19机床产品的成本结构.jpg	根据图中的成本结构，哪种成本占比最高？	人工	折旧	数控系统及配件	其他制造费用	C
pg	707	data/figure/pg/2023-10-16--化学制品-巨化股份-公司深度报告：氟化工有望进入长期景气周期，龙头一体化优势尽显_page26_图53液氯下游消费结构.jpg	如果PVC业务的收入为5亿元，那么公司总收入为多少？	11.48亿元	12.37亿元	13.06亿元	14.09亿元	A
pg	708	data/figure/pg/2022-12-11--电子元件-顺络电子-顺络电子：汽车+新能源带来新成长，国内电感龙头再启航_page4_图表3公司股权结构更新至2022年9月30日.jpg	根据图中的股权结构，袁金钰的持股比例是多少？	8.85%	7.59%	7.08%	2.99%	A
pg	709	data/figure/pg/2022-12-05--化纤行业-东方盛虹-炼化铸基石，新材料促腾飞_page19_图26全球EVA产能分布.jpg	全球EVA产能分布中，中国大陆的占比是多少？	27%	18%	9%	5%	A
pg	710	data/figure/pg/2022-11-29--装修建材-兔宝宝-渠道横纵并拓，模式优化升级，板材龙头稳健成长_page5_图42021年公司营收结构情况.jpg	装饰材料与整体衣柜的市场份额差距是多少百分点？	43%	42%	41%	40%	A
pg	711	data/figure/pg/2023-10-13--通用设备-中核科技-核电行业景气上行，公司有望乘风而起_page16_图24核电设备投资占比2019年.jpg	根据图中的核电设备投资占比，核岛的占比为多少？	20%	58%	22%	40%	B
pg	712	data/figure/pg/2023-12-19--证券-国泰君安-公司季报点评：自营表现较为稳健，归母净利润+2.4%_page1_图1国泰君安2023年前三季度收入结构.jpg	如果自营和经纪业务合并，其市场占有率将达到多少？	48%	38%	52%	46%	A
pg	713	data/figure/pg/2022-11-18--家电行业-恒太照明-北交所新股研究简报：深耕LED照明领域，工矿灯出口冠军_page11_图表202020年中国LED照明市场份额.jpg	根据图中数据，以下哪项描述最符合2020年中国LED照明市场份额的结构？	民用照明占比最高，其次是商用照明。	景观照明占比最高，其次是交通照明。	商用照明占比最高，其次是民用照明。	交通照明占比最低，其次是其他照明。	A
pg	714	data/figure/pg/2023-06-29--保险-新华保险-渠道转型，困局反转_page13_图9新华保险2022年债权型金融资产分类及占比.jpg	新华保险2022年债权型金融资产中，债券及债务的占比是多少？	0.078	0.113	0.801	0.009	C
pg	715	data/figure/pg/2022-11-21--航运港口-招商南油-中国出口提振市场，“东油西运”趋势不变_page9_图15欧洲成品油进口情况百万吨.jpg	根据图中数据，俄罗斯的成品油进口量占欧洲总进口量的比例是多少？	38.40%	24.20%	16.40%	0.136	A
pg	716	data/figure/pg/2022-12-19--通信设备-锐捷网络-企业网设备新贵，中小客户解决方案能力强_page10_图92021年网络设备网络安全云桌面解决方案等产品占收比.jpg	如果网络设备与网络安全业务合并，其市场占有率将达到多少？	86%	70%	92%	82%	A
pg	717	data/figure/pg/2023-01-16--互联网服务-润泽科技-超大规模数据中心时代来临，以专业服务润泽数字经济_page13_图表18新BAT阿里字节腾讯在2021国内互联网服务器市场中占比超5成.jpg	如果New BAT与快手&百度合并，它们的市场份额将达到多少？	超过50%	40%至50%之间	30%至40%之间	20%至30%之间	A
